Name of fjord,Length (km/mi),County,Municipality,Coordinates
Gunneklevfjord,2 km (1.2 mi),Telemark,Porsgrunn,59°07′20″N 9°38′21″E﻿ / ﻿59.1223°N 9.6393°E
Hadselfjord,40 km (25 mi),Nordland,"Hadsel, Sortland",68°28′22″N 14°45′56″E﻿ / ﻿68.4729°N 14.7655°E
Halsafjord,15 km (9.3 mi),Møre og Romsdal,"Surnadal, Tingvoll",63°06′57″N 8°08′46″E﻿ / ﻿63.1158°N 8.1461°E
Hamnesfjord,9 km (5.6 mi),Møre og Romsdal,Surnadal,62°58′48″N 8°27′08″E﻿ / ﻿62.9800°N 8.4521°E
Hardangerfjord,179 km (111 mi),Hordaland,Bømlo—Odda,59°48′34″N 5°36′05″E﻿ / ﻿59.8095°N 5.6015°E
Hellemofjorden,29 km (18 mi),Nordland,Tysfjord,67°58′48″N 16°14′15″E﻿ / ﻿67.9800°N 16.2376°E
Hemnfjorden,25 km (16 mi),Trøndelag,"Hemne, Snillfjord",63°27′04″N 9°05′59″E﻿ / ﻿63.4512°N 9.0998°E
Herdlefjord,20 km (12 mi),Hordaland,"Askøy, Meland",60°29′40″N 5°12′57″E﻿ / ﻿60.4944°N 5.2159°E
Herjangsfjord,10 km (6.2 mi),Nordland,Narvik,68°27′53″N 17°21′41″E﻿ / ﻿68.4648°N 17.3615°E
Hervikfjord,38 km (24 mi),Rogaland,"Tysvær, Vindafjord",59°17′13″N 5°36′23″E﻿ / ﻿59.2870°N 5.6063°E
Herøyfjord,8 km (5.0 mi),Møre og Romsdal,Herøy,62°18′04″N 5°29′23″E﻿ / ﻿62.3012°N 5.4897°E
Hidlefjord,13 km (8.1 mi),Rogaland,"Rennesøy, Stavanger, Strand",59°03′33″N 5°47′41″E﻿ / ﻿59.0591°N 5.7946°E
Hjeltefjorden,46 km (29 mi),Hordaland,"Askøy, Fedje, Fjell, Radøy, Øygarden",60°26′33″N 5°01′35″E﻿ / ﻿60.4425°N 5.0264°E
Hjørundfjorden,35 km (22 mi),Møre og Romsdal,"Sykkylven, Ørsta",62°12′40″N 6°30′52″E﻿ / ﻿62.2111°N 6.5145°E
Hornsund,30 km (19 mi),Svalbard,Spitsbergen,76°58′20″N 15°43′05″E﻿ / ﻿76.9722°N 15.7181°E
Hyllestadfjorden,4 km (2.5 mi),Sogn og Fjordane,Hyllestad,61°10′39″N 5°15′40″E﻿ / ﻿61.1774°N 5.2612°E
Hylsfjord,20 km (12 mi),Rogaland,Suldal,59°31′43″N 6°22′05″E﻿ / ﻿59.5287°N 6.3681°E
Høgsfjorden,23 km (14 mi),Rogaland,"Forsand, Gjesdal, Sandnes",58°59′38″N 5°48′58″E﻿ / ﻿58.9938°N 5.8162°E
Høyangsfjorden,8 km (5.0 mi),Sogn og Fjordane,Høyanger,61°11′10″N 6°02′43″E﻿ / ﻿61.1861°N 6.0452°E
Håsteinsfjord,10 km (6.2 mi),Rogaland,"Kvitsøy, Randaberg, Sola",58°58′05″N 5°24′51″E﻿ / ﻿58.9681°N 5.4141°E
Iddefjord,17 km (11 mi),Østfold,Halden,58°59′36″N 11°27′34″E﻿ / ﻿58.9934°N 11.4595°E
Idsefjord,12 km (7.5 mi),Rogaland,Strand,58°59′35″N 5°57′30″E﻿ / ﻿58.9931°N 5.9582°E
Indre Oslofjord,30 km (19 mi),"Akershus, Buskerud, Oslo, Østfold",Hurum—Oslo,59°51′05″N 10°35′19″E﻿ / ﻿59.8514°N 10.5887°E
Innværfjorden,3.5 km (2.2 mi),Hordaland,Bømlo,59°48′09″N 5°15′45″E﻿ / ﻿59.8024°N 5.2624°E
"Isfjorden, Møre og Romsdal",6.5 km (4.0 mi),Møre og Romsdal,Rauma,62°34′37″N 7°43′42″E﻿ / ﻿62.5769°N 7.7282°E
"Isfjorden, Svalbard",107 km (66 mi),Svalbard,Spitsbergen,78°14′58″N 14°46′49″E﻿ / ﻿78.2494°N 14.7804°E
Jarfjorden,21 km (13 mi),Finnmark,Sør-Varanger,69°41′00″N 30°25′34″E﻿ / ﻿69.683458°N 30.426230°E
Jelsafjord,10 km (6.2 mi),Rogaland,"Finnøy, Hjelmeland, Suldal, Tysvær",59°18′59″N 6°00′18″E﻿ / ﻿59.3163°N 6.0051°E
Jøsenfjorden,24 km (15 mi),Rogaland,Hjelmeland,59°15′51″N 6°11′27″E﻿ / ﻿59.2642°N 6.1907°E
Jøssingfjorden,2.5 km (1.6 mi),Rogaland,Sokndal,58°19′10″N 6°20′25″E﻿ / ﻿58.3194°N 6.3402°E
Kaldfjord,16 km (9.9 mi),Troms,Tromsø,69°46′10″N 18°40′56″E﻿ / ﻿69.7694°N 18.6821°E
Kaldvågfjorden,16 km (9.9 mi),Nordland,Hamarøy,68°02′16″N 15°39′32″E﻿ / ﻿68.0378°N 15.6589°E
"Kilsfjord, Møre og Romsdal",3 km (1.9 mi),Møre og Romsdal,Volda,62°04′35″N 6°05′03″E﻿ / ﻿62.0765°N 6.0843°E
"Kilsfjord, Telemark",7 km (4.3 mi),Telemark,Kragerø,58°51′29″N 9°19′48″E﻿ / ﻿58.8580°N 9.3301°E
Kobbefjorden,3.5 km (2.2 mi),Svalbard,Danes Island,79°41′40″N 10°49′08″E﻿ / ﻿79.6945°N 10.8189°E
Kongsfjorden,26 km (16 mi),Svalbard,Spitsbergen,78°57′54″N 11°51′25″E﻿ / ﻿78.9651°N 11.8569°E
Kornstadfjord,9 km (5.6 mi),Møre og Romsdal,"Averøy, Eide",62°57′59″N 7°24′40″E﻿ / ﻿62.9665°N 7.4112°E
Krossfjorden,30 km (19 mi),Svalbard,Spitsbergen,79°07′21″N 11°40′47″E﻿ / ﻿79.1225°N 11.6797°E
Kurefjorden,5 km (3.1 mi),Østfold,"Rygge, Råde",59°19′47″N 10°44′18″E﻿ / ﻿59.3297°N 10.7384°E
Kvernesfjord,22 km (14 mi),Møre og Romsdal,"Averøy, Eide, Gjemnes, Kristiansund",63°02′52″N 7°40′56″E﻿ / ﻿63.0477°N 7.6822°E
Kvitsøyfjord,9 km (5.6 mi),Rogaland,"Kvitsøy, Randaberg, Rennesøy",59°04′15″N 5°33′47″E﻿ / ﻿59.0707°N 5.5630°E
Kvænangen,117 km (73 mi),Troms,"Kvænangen, Skjervøy",69°44′46″N 22°05′18″E﻿ / ﻿69.7462°N 22.0883°E
Kvåsefjorden,8 km (5.0 mi),"Aust-Agder, Vest-Agder","Kristiansand, Lillesand",58°08′18″N 8°11′23″E﻿ / ﻿58.1384°N 8.1896°E
Kåfjorden,8 km (5.0 mi),Finnmark,Alta,69°56′07″N 23°02′43″E﻿ / ﻿69.9353°N 23.0454°E
Laksefjord,72 km (45 mi),Finnmark,Lebesby,70°28′24″N 26°37′18″E﻿ / ﻿70.4732°N 26.6218°E
Langangsfjord,6 km (3.7 mi),Telemark,Porsgrunn,59°02′09″N 9°47′19″E﻿ / ﻿59.0359°N 9.7885°E
Langfjorden,35 km (22 mi),Møre og Romsdal,"Molde, Nesset, Rauma",62°38′28″N 7°24′57″E﻿ / ﻿62.6411°N 7.4159°E
Lavangen,16 km (9.9 mi),Troms,Lavangen,68°47′52″N 17°35′26″E﻿ / ﻿68.7979°N 17.5905°E
Leirfjorden,20 km (12 mi),Nordland,"Leirfjord, Alstahaug",66°01′47″N 12°41′05″E﻿ / ﻿66.0297°N 12.6847°E
Liefdefjorden,30 km (19 mi),Svalbard,Spitsbergen,79°36′11″N 12°52′44″E﻿ / ﻿79.6031°N 12.8789°E
Lille Kufjorden,2 km (1.2 mi),Finnmark,Alta,70°21′11″N 22°58′13″E﻿ / ﻿70.3530°N 22.9704°E
Listafjord,10 km (6.2 mi),Vest-Agder,"Farsund, Flekkefjord",58°11′39″N 6°36′49″E﻿ / ﻿58.1943°N 6.6137°E
Lomfjorden,35 km (22 mi),Svalbard,Spitsbergen,79°30′53″N 17°53′43″E﻿ / ﻿79.5148°N 17.8953°E
Lustrafjorden,40 km (25 mi),Sogn og Fjordane,Luster,61°14′27″N 7°22′26″E﻿ / ﻿61.2409°N 7.3738°E
Lyngenfjorden,121 km (75 mi),Troms,"Kåfjord, Lyngen, Nordreisa, Skjervøy, Storfjord",69°46′47″N 20°22′58″E﻿ / ﻿69.7797°N 20.3827°E
Lysakerfjorden,3 km (1.9 mi),"Akershus, Oslo","Bærum, Oslo",59°54′10″N 10°38′48″E﻿ / ﻿59.9029°N 10.6466°E
