Name of fjord,Length (km/mi),County,Municipality,Coordinates
Sassenfjorden,15 km (9.3 mi),Svalbard,Spitsbergen,78°22′36″N 16°25′21″E﻿ / ﻿78.3767°N 16.4225°E
Saudafjord,16 km (9.9 mi),Rogaland,"Sauda, Suldal",59°37′27″N 6°18′39″E﻿ / ﻿59.6242°N 6.3109°E
Selbjørnsfjorden,20 km (12 mi),Hordaland,"Austevoll, Bømlo, Stord",59°57′03″N 5°01′44″E﻿ / ﻿59.9508°N 5.0289°E
Sjona,26 km (16 mi),Nordland,"Lurøy, Nesna, Rana",66°18′12″N 13°17′17″E﻿ / ﻿66.3032°N 13.2881°E
Skjerstadfjorden,32 km (20 mi),Nordland,"Bodø, Fauske",67°13′43″N 15°10′54″E﻿ / ﻿67.2286°N 15.1816°E
Skjoldafjord,15 km (9.3 mi),Rogaland,"Tysvær, Vindafjord",59°29′39″N 5°34′40″E﻿ / ﻿59.4943°N 5.5778°E
Skjomen,24 km (15 mi),Nordland,Narvik,68°18′14″N 17°17′28″E﻿ / ﻿68.3039°N 17.2912°E
Skudenesfjord,15 km (9.3 mi),Rogaland,"Bokn, Karmøy, Kvitsøy",59°07′02″N 5°15′22″E﻿ / ﻿59.1172°N 5.2561°E
Skånevikfjorden,15 km (9.3 mi),"Hordaland, Rogaland","Etne, Kvinnherad, Vindafjord",59°43′36″N 5°47′48″E﻿ / ﻿59.7266°N 5.7967°E
Snigsfjorden,3 km (1.9 mi),Vest-Agder,Lindesnes,58°02′50″N 7°16′22″E﻿ / ﻿58.0471°N 7.2728°E
Snillfjorden,14 km (8.7 mi),Trøndelag,Snillfjord,63°22′08″N 9°21′34″E﻿ / ﻿63.3690°N 9.3595°E
Sognefjord,205 km (127 mi),Sogn og Fjordane,Luster—Solund,61°09′31″N 7°13′35″E﻿ / ﻿61.1586°N 7.2263°E
Solbergfjord,27 km (17 mi),Troms,"Dyrøy, Lenvik, Sørreisa, Tranøy",69°08′24″N 17°39′36″E﻿ / ﻿69.1401°N 17.6599°E
Stavfjord,18 km (11 mi),Sogn og Fjordane,"Askvoll, Flora",61°27′37″N 5°00′49″E﻿ / ﻿61.4604°N 5.0135°E
Stjørnfjord,20 km (12 mi),Trøndelag,"Bjugn, Indre Fosen, Ørland",63°42′36″N 9°51′50″E﻿ / ﻿63.7101°N 9.8638°E
"Storfjorden, Møre og Romsdal",110 km (68 mi),Møre og Romsdal,Hareid—Stranda,62°23′50″N 6°54′23″E﻿ / ﻿62.3973°N 6.9064°E
"Storfjorden, Svalbard",132 km (82 mi),Svalbard,Spitsbergen,77°49′27″N 19°40′50″E﻿ / ﻿77.8241°N 19.6806°E
"Storfjorden, Troms",17 km (11 mi),Troms,Lyngen,69°21′12″N 20°02′11″E﻿ / ﻿69.3533°N 20.0365°E
Sulafjorden,9 km (5.6 mi),Møre og Romsdal,"Hareid, Sula",62°22′24″N 6°08′05″E﻿ / ﻿62.3732°N 6.1347°E
Sunndalsfjord,17 km (11 mi),Møre og Romsdal,Sunndal,62°47′20″N 8°19′43″E﻿ / ﻿62.7889°N 8.3285°E
Sunnylvsfjorden,25 km (16 mi),Møre og Romsdal,Stranda,62°13′27″N 7°02′21″E﻿ / ﻿62.2242°N 7.0392°E
Sykkylvsfjorden,10 km (6.2 mi),Møre og Romsdal,Sykkylven,62°22′10″N 6°33′27″E﻿ / ﻿62.3695°N 6.5575°E
Syvdsfjorden,10 km (6.2 mi),Møre og Romsdal,Vanylven,62°05′30″N 5°43′47″E﻿ / ﻿62.0918°N 5.7296°E
Søndeledfjorden,15 km (9.3 mi),Aust-Agder,Risør,58°45′19″N 9°04′15″E﻿ / ﻿58.7553°N 09.0709°E
"Sørfjorden, Finnmark",4.5 km (2.8 mi),Finnmark,Hasvik,70°20′36″N 22°27′49″E﻿ / ﻿70.3434°N 22.4635°E
